Date,Sector,Weighting
01/25/2011,utilities,0.0
01/25/2011,energy,0.0
01/25/2011,industrials,0.0
01/25/2011,consumer_staples,0.0
03/15/2011,utilities,0.008975166450456663
03/15/2011,energy,0.3996417428696693
03/15/2011,industrials,0.18587308886285703
03/15/2011,consumer_staples,0.405510001817017
04/26/2011,utilities,0.08108097143025189
04/26/2011,energy,0.17543644627416868
04/26/2011,industrials,0.2706638296045622
04/26/2011,technology,0.1377596774906398
04/26/2011,consumer_staples,0.33505907520037753
06/21/2011,energy,0.17792206271303423
06/21/2011,industrials,0.2512088382615034
06/21/2011,technology,0.18237917868541179
06/21/2011,consumer_staples,0.38848992034005053
08/09/2011,utilities,0.03424135160858633
08/09/2011,energy,0.21020607669024613
08/09/2011,industrials,0.2430959490014457
08/09/2011,technology,0.13685184006825782
08/09/2011,consumer_staples,0.3756047826314641
09/20/2011,utilities,0.053964566359439844
09/20/2011,energy,0.21826782067648
09/20/2011,financials,0.01704908760952613
09/20/2011,industrials,0.21829642724207962
09/20/2011,technology,0.1875383894358427
09/20/2011,consumer_staples,0.30488370867663167
11/01/2011,utilities,0.03299866590083266
11/01/2011,energy,0.32141211131715197
11/01/2011,industrials,0.14237114615743507
11/01/2011,technology,0.1617170719245119
11/01/2011,consumer_staples,0.2825862380944799
11/01/2011,materials,0.05891476660558834
12/12/2011,energy,0.24513722129272544
12/12/2011,industrials,0.19424524396977502
12/12/2011,technology,0.2035179140604835
12/12/2011,consumer_staples,0.35709962067701606
01/24/2012,utilities,0.08763278697496428
01/24/2012,energy,0.19960180376795184
01/24/2012,industrials,0.13923076810196255
01/24/2012,technology,0.2301087519613629
01/24/2012,consumer_staples,0.28530793248501646
01/24/2012,materials,0.05811795670874208
03/13/2012,utilities,0.024521667707249856
03/13/2012,energy,0.3264961176943772
03/13/2012,industrials,0.166250542941934
03/13/2012,consumer_staples,0.4608558987129303
03/13/2012,materials,0.02187577294350864
04/24/2012,utilities,0.039674607611679735
04/24/2012,energy,0.253506929747459
04/24/2012,industrials,0.21523768044835215
04/24/2012,technology,0.1495773817138486
04/24/2012,consumer_staples,0.3420034004786604
06/19/2012,energy,0.22440236211204043
06/19/2012,industrials,0.17074831758480144
06/19/2012,technology,0.25399470357559034
06/19/2012,consumer_staples,0.3508546167275678
07/31/2012,utilities,0.07136370605808964
07/31/2012,energy,0.17076978224187248
07/31/2012,industrials,0.23589315954004728
07/31/2012,technology,0.20682519307569672
07/31/2012,consumer_staples,0.3151481590842939
09/12/2012,utilities,0.09369071144630707
09/12/2012,energy,0.2425557700715881
09/12/2012,industrials,0.21555868505777265
09/12/2012,technology,0.20471674663247058
09/12/2012,consumer_staples,0.2191530241049365
09/12/2012,materials,0.02432506268692509
10/23/2012,utilities,0.06086737770033221
10/23/2012,energy,0.2878793661192122
10/23/2012,industrials,0.15742160630633165
10/23/2012,technology,0.23647713445367907
10/23/2012,consumer_staples,0.22357200869750926
10/23/2012,materials,0.03378250672293547
12/11/2012,utilities,0.05679570144552019
12/11/2012,energy,0.286584864134397
12/11/2012,industrials,0.2396096266334584
12/11/2012,technology,0.3227061359706062
12/11/2012,consumer_staples,0.09430367181601824
01/29/2013,utilities,0.11289743557393382
01/29/2013,energy,0.2173050276863664
01/29/2013,industrials,0.179874320473183
01/29/2013,technology,0.1821814980400814
01/29/2013,consumer_staples,0.22369740783732703
01/29/2013,materials,0.08404431038910826
03/19/2013,energy,0.33134758682043014
03/19/2013,industrials,0.12037491802079973
03/19/2013,technology,0.02749299999207778
03/19/2013,consumer_staples,0.5207844951666923
04/30/2013,energy,0.2435034901414245
04/30/2013,industrials,0.16460607944682742
04/30/2013,technology,0.21575064401271607
04/30/2013,consumer_staples,0.376139786399032
06/18/2013,energy,0.24571847711201522
06/18/2013,industrials,0.17199368609060905
06/18/2013,technology,0.18290251182662282
